task,N,Left,Right,Expected
2,1,A,A,same
2,2,B,B,same
2,3,C,C,same
2,4,E,E,same
2,5,A,A,same
2,6,B,B,same
2,7,C,C,same
2,8,E,E,same
2,9,A,A,same
2,10,B,B,same
2,11,C,C,same
2,12,E,E,same
2,13,A,a,same
2,14,B,b,same
2,15,C,c,same
2,16,E,e,same
2,17,A,a,same
2,18,B,b,same
2,19,C,c,same
2,20,E,e,same
2,21,A,a,same
2,22,B,b,same
2,23,C,c,same
2,24,E,e,same
2,25,a,A,same
2,26,b,B,same
2,27,c,C,same
2,28,e,E,same
2,29,a,A,same
2,30,b,B,same
2,31,c,C,same
2,32,e,E,same
2,33,a,A,same
2,34,b,B,same
2,35,c,C,same
2,36,e,E,same
2,37,a,a,same
2,38,b,b,same
2,39,c,c,same
2,40,e,e,same
2,41,a,a,same
2,42,b,b,same
2,43,c,c,same
2,44,e,e,same
2,45,a,a,same
2,46,b,b,same
2,47,c,c,same
2,48,e,e,same
2,49,A,b,different
2,50,B,a,different
2,51,C,a,different
2,52,E,C,different
2,53,A,E,different
2,54,B,E,different
2,55,C,B,different
2,56,A,c,different
2,57,C,E,different
2,58,A,b,different
2,59,B,c,different
2,60,C,A,different
2,61,E,B,different
2,62,A,e,different
2,63,B,E,different
2,64,C,a,different
2,65,E,c,different
2,66,A,e,different
2,67,C,B,different
2,68,E,b,different
2,69,c,A,different
2,70,a,b,different
2,71,e,C,different
2,72,a,e,different
2,73,b,c,different
2,74,e,A,different
2,75,a,C,different
2,76,b,e,different
2,77,e,c,different
2,78,b,a,different
2,79,c,B,different
2,80,b,A,different
2,81,c,a,different
2,82,e,c,different
2,83,B,C,different
2,84,E,B,different
2,85,a,e,different
2,86,b,C,different
2,87,e,a,different
2,88,c,B,different
2,89,c,A,different
2,90,c,e,different
2,91,a,C,different
2,92,b,A,different
2,93,e,b,different
2,94,a,E,different
2,95,E,b,different
2,96,B,E,different
